2017/18,May-17,South Eastern,Downe,Type 2,1937,139,3,2079
2017/18,May-17,South Eastern,Lagan Valley,Type 2,2007,229,2,2238
2017/18,May-17,South Eastern,Ulster,Type 1,5642,"2,647.00",177,8466
2017/18,May-17,Southern,Craigavon Area,Type 1,4934,"2,686.00",132,7752
2017/18,May-17,Southern,Daisy Hill,Type 1,3795,"1,222.00",25,5042
2017/18,May-17,Southern,South Tyrone,Type 3,3058,0,0,3058
2017/18,May-17,Western,Altnagelvin Area,Type 1,4769,"1,142.00",24,5935
2017/18,May-17,Western,South West Acute,Type 1,2687,469,2,3158
2017/18,May-17,Western,Tyrone County,Type 3,1605,2,0,1607
2017/18,Jun-17,Belfast,Mater,Type 1,2920,"1,098.00",26,4044
2017/18,Jun-17,Belfast,Royal Victoria,Type 1,6565,"1,320.00",5,7890
2017/18,Jun-17,Belfast,RBHSC,Type 1,2983,219,0,3202
2017/18,Jun-17,Belfast,Royal Victoria (RAES),Type 2,1351,173,0,1524
2017/18,Jun-17,Northern,Antrim Area,Type 1,5502,"1,786.00",25,7313
2017/18,Jun-17,Northern,Causeway,Type 1,2535,"1,267.00",3,3805
2017/18,Jun-17,Northern,Mid-Ulster,Type 3,1025,0,0,1025
2017/18,Jun-17,South Eastern,Ards MIU,Type 3,1140,0,0,1140
2017/18,Jun-17,South Eastern,Bangor MIU,Type 3,913,0,0,913
2017/18,Jun-17,South Eastern,Downe,Type 2,1776,122,16,1914
2017/18,Jun-17,South Eastern,Lagan Valley,Type 2,1906,240,0,2146
2017/18,Jun-17,South Eastern,Ulster,Type 1,5805,"2,176.00",104,8085
2017/18,Jun-17,Southern,Craigavon Area,Type 1,5853,"1,400.00",59,7312
2017/18,Jun-17,Southern,Daisy Hill,Type 1,3581,"1,015.00",45,4641
2017/18,Jun-17,Southern,South Tyrone,Type 3,2810,0,0,2810
2017/18,Jun-17,Western,Altnagelvin Area,Type 1,4279,"1,214.00",9,5502
2017/18,Jun-17,Western,South West Acute,Type 1,2463,377,4,2844
2017/18,Jun-17,Western,Tyrone County,Type 3,1509,0,0,1509
2017/18,Jul-17,Belfast,Mater,Type 1,2947,"1,005.00",9,3961
2017/18,Jul-17,Belfast,Royal Victoria,Type 1,6630,"1,525.00",5,8160
2017/18,Jul-17,Belfast,RBHSC,Type 1,2531,125,0,2656
2017/18,Jul-17,Belfast,Royal Victoria (RAES),Type 2,1266,157,0,1423
2017/18,Jul-17,Northern,Antrim Area,Type 1,5226,"1,801.00",79,7106
2017/18,Jul-17,Northern,Causeway,Type 1,2728,"1,466.00",10,4204
2017/18,Jul-17,Northern,Mid-Ulster,Type 3,803,0,0,803
2017/18,Jul-17,South Eastern,Ards MIU,Type 3,1025,0,0,1025
2017/18,Jul-17,South Eastern,Bangor MIU,Type 3,792,0,0,792
2017/18,Jul-17,South Eastern,Downe,Type 2,1709,129,2,1840
2017/18,Jul-17,South Eastern,Lagan Valley,Type 2,1739,148,0,1887
2017/18,Jul-17,South Eastern,Ulster,Type 1,6067,"1,891.00",108,8066
2017/18,Jul-17,Southern,Craigavon Area,Type 1,6332,800,12,7144
2017/18,Jul-17,Southern,Daisy Hill,Type 1,3563,"1,124.00",27,4714
2017/18,Jul-17,Southern,South Tyrone,Type 3,2590,0,0,2590
2017/18,Jul-17,Western,Altnagelvin Area,Type 1,4016,"1,662.00",28,5706
2017/18,Jul-17,Western,South West Acute,Type 1,2303,725,13,3041
2017/18,Jul-17,Western,Tyrone County,Type 3,1384,1,0,1385
2017/18,Aug-17,Belfast,Mater,Type 1,3383,747,14,4144
2017/18,Aug-17,Belfast,Royal Victoria,Type 1,6387,"1,993.00",8,8388
2017/18,Aug-17,Belfast,RBHSC,Type 1,2357,222,0,2579
2017/18,Aug-17,Belfast,Royal Victoria (RAES),Type 2,1210,292,0,1502
2017/18,Aug-17,Northern,Antrim Area,Type 1,4816,"2,177.00",158,7151
2017/18,Aug-17,Northern,Causeway,Type 1,2604,"1,261.00",0,3865
2017/18,Aug-17,Northern,Mid-Ulster,Type 3,837,0,0,837
2017/18,Aug-17,South Eastern,Ards MIU,Type 3,1068,0,0,1068
2017/18,Aug-17,South Eastern,Bangor MIU,Type 3,831,0,0,831
2017/18,Aug-17,South Eastern,Downe,Type 2,1827,122,1,1950
2017/18,Aug-17,South Eastern,Lagan Valley,Type 2,1901,189,0,2090
2017/18,Aug-17,South Eastern,Ulster,Type 1,5613,"2,329.00",185,8127
2017/18,Aug-17,Southern,Craigavon Area,Type 1,5650,"1,344.00",51,7045
2017/18,Aug-17,Southern,Daisy Hill,Type 1,3652,903,5,4560
